<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.GOLD,D,20081222,000000,846.00000,856.70001,844.00000,853.50000
SPFB.GOLD,D,20081223,000000,850.50000,852.00000,834.40002,843.59998
SPFB.GOLD,D,20081224,000000,844.90002,855.00000,839.00000,853.90002
SPFB.GOLD,D,20081225,000000,851.00000,877.00000,825.00000,849.00000
SPFB.GOLD,D,20081226,000000,850.79999,871.79999,848.00000,871.00000
SPFB.GOLD,D,20081229,000000,871.79999,893.00000,871.79999,884.00000
SPFB.GOLD,D,20081230,000000,881.29999,882.29999,869.00000,879.00000
SPFB.GOLD,D,20081231,000000,877.00000,881.40002,869.20001,870.59998
SPFB.GOLD,D,20090111,000000,859.90002,867.59998,854.00000,864.79999
SPFB.GOLD,D,20090112,000000,861.00000,861.00000,818.09998,822.20001
SPFB.GOLD,D,20090113,000000,819.50000,832.59998,816.20001,823.90002
SPFB.GOLD,D,20090114,000000,824.90002,831.00000,809.20001,814.90002
SPFB.GOLD,D,20090115,000000,811.00000,823.29999,802.29999,821.70001
SPFB.GOLD,D,20090116,000000,821.70001,844.40002,820.09998,843.00000
SPFB.GOLD,D,20090119,000000,842.59998,845.70001,833.59998,839.00000
SPFB.GOLD,D,20090120,000000,835.09998,868.00000,822.29999,858.00000
SPFB.GOLD,D,20090121,000000,854.00000,866.00000,845.00000,858.59998
SPFB.GOLD,D,20090122,000000,856.20001,864.00000,845.29999,860.79999
SPFB.GOLD,D,20090123,000000,859.00000,903.79999,853.40002,902.40002
SPFB.GOLD,D,20090126,000000,897.20001,917.79999,897.00000,907.59998
SPFB.GOLD,D,20090127,000000,908.20001,909.40002,894.00000,898.40002
SPFB.GOLD,D,20090128,000000,896.79999,903.20001,884.79999,891.29999
SPFB.GOLD,D,20090129,000000,887.00000,911.59998,876.20001,911.59998
SPFB.GOLD,D,20090130,000000,908.00000,934.09998,904.59998,930.00000
SPFB.GOLD,D,20090202,000000,929.00000,929.00000,906.50000,907.40002
SPFB.GOLD,D,20090203,000000,906.29999,914.90002,892.50000,901.70001
SPFB.GOLD,D,20090204,000000,900.00000,910.50000,897.40002,908.00000
SPFB.GOLD,D,20090205,000000,906.40002,926.29999,904.50000,916.79999
SPFB.GOLD,D,20090206,000000,917.40002,922.50000,907.00000,913.29999
SPFB.GOLD,D,20090209,000000,913.29999,913.29999,894.40002,901.90002
SPFB.GOLD,D,20090210,000000,899.70001,924.00000,895.40002,919.90002
SPFB.GOLD,D,20090211,000000,917.50000,951.79999,917.29999,944.00000
SPFB.GOLD,D,20090212,000000,944.59998,953.50000,910.50000,950.00000
SPFB.GOLD,D,20090213,000000,948.09998,948.09998,933.59998,942.50000
SPFB.GOLD,D,20090216,000000,941.09998,946.29999,940.20001,944.50000
SPFB.GOLD,D,20090217,000000,945.00000,977.90002,945.00000,972.20001
SPFB.GOLD,D,20090218,000000,973.59998,990.00000,966.00000,988.40002
SPFB.GOLD,D,20090219,000000,988.09998,988.09998,973.50000,979.40002
SPFB.GOLD,D,20090220,000000,981.00000,1011.90002,980.00000,998.00000
SPFB.GOLD,D,20090224,000000,997.09998,1002.09998,966.20001,971.00000
SPFB.GOLD,D,20090225,000000,970.00000,982.50000,951.79999,954.70001
SPFB.GOLD,D,20090226,000000,953.79999,962.00000,937.50000,950.79999
SPFB.GOLD,D,20090227,000000,948.00000,968.00000,932.70001,949.29999
SPFB.GOLD,D,20090302,000000,952.79999,963.29999,929.09998,930.59998
SPFB.GOLD,D,20090303,000000,929.90002,931.00000,906.29999,915.09998
SPFB.GOLD,D,20090304,000000,915.50000,924.20001,900.59998,906.29999
SPFB.GOLD,D,20090305,000000,909.70001,936.79999,908.00000,934.20001
SPFB.GOLD,D,20090306,000000,935.59998,946.00000,931.09998,940.79999
SPFB.GOLD,D,20090310,000000,945.09998,945.09998,892.50000,895.00000
SPFB.GOLD,D,20090311,000000,900.20001,915.40002,896.40002,912.79999
SPFB.GOLD,D,20090312,000000,914.79999,933.00000,910.09998,928.59998
SPFB.GOLD,D,20090313,000000,927.00000,942.00000,922.00000,932.00000
SPFB.GOLD,D,20090316,000000,930.20001,935.00000,918.79999,927.90002
SPFB.GOLD,D,20090317,000000,926.00000,927.00000,915.00000,918.50000
SPFB.GOLD,D,20090318,000000,918.59998,944.00000,888.29999,941.00000
SPFB.GOLD,D,20090319,000000,940.00000,965.00000,930.79999,963.00000
SPFB.GOLD,D,20090320,000000,962.29999,972.59998,949.50000,955.00000
SPFB.GOLD,D,20090323,000000,958.90002,959.79999,938.20001,941.20001
SPFB.GOLD,D,20090324,000000,940.59998,940.79999,920.20001,932.50000
SPFB.GOLD,D,20090325,000000,929.50000,943.90002,917.70001,935.20001
SPFB.GOLD,D,20090326,000000,935.40002,947.90002,934.90002,935.00000
SPFB.GOLD,D,20090327,000000,935.20001,939.20001,922.00000,926.90002
SPFB.GOLD,D,20090330,000000,927.00000,933.09998,911.29999,922.29999
SPFB.GOLD,D,20090331,000000,922.20001,927.40002,915.00000,921.00000
SPFB.GOLD,D,20090401,000000,920.79999,935.59998,919.00000,926.79999
SPFB.GOLD,D,20090402,000000,925.59998,926.40002,898.50000,907.50000
SPFB.GOLD,D,20090403,000000,909.00000,914.00000,895.09998,897.59998
SPFB.GOLD,D,20090406,000000,895.09998,895.09998,869.00000,874.40002
SPFB.GOLD,D,20090407,000000,876.09998,891.00000,876.09998,888.59998
SPFB.GOLD,D,20090408,000000,889.50000,893.20001,876.00000,883.59998
SPFB.GOLD,D,20090409,000000,883.00000,890.09998,878.59998,882.29999
SPFB.GOLD,D,20090410,000000,887.70001,888.90002,880.29999,883.20001
SPFB.GOLD,D,20090413,000000,885.79999,902.90002,885.79999,894.50000
SPFB.GOLD,D,20090414,000000,896.59998,901.29999,889.09998,892.20001
SPFB.GOLD,D,20090415,000000,893.79999,901.00000,887.00000,893.59998
SPFB.GOLD,D,20090416,000000,893.59998,896.00000,873.90002,875.09998
SPFB.GOLD,D,20090417,000000,876.00000,878.09998,862.00000,868.00000
SPFB.GOLD,D,20090420,000000,869.29999,891.00000,869.00000,885.90002
SPFB.GOLD,D,20090421,000000,887.79999,897.50000,880.40002,884.90002
SPFB.GOLD,D,20090422,000000,885.09998,894.50000,883.00000,890.59998
SPFB.GOLD,D,20090423,000000,891.29999,909.40002,890.59998,905.59998
SPFB.GOLD,D,20090424,000000,908.90002,914.40002,905.00000,912.40002
SPFB.GOLD,D,20090427,000000,913.50000,917.29999,905.00000,907.29999
SPFB.GOLD,D,20090428,000000,905.29999,905.29999,884.50000,893.20001
SPFB.GOLD,D,20090429,000000,893.50000,904.50000,891.00000,896.79999
SPFB.GOLD,D,20090430,000000,897.20001,899.90002,880.70001,889.20001
SPFB.GOLD,D,20090504,000000,892.90002,910.00000,888.70001,901.59998
SPFB.GOLD,D,20090505,000000,903.29999,916.40002,897.40002,898.29999
SPFB.GOLD,D,20090506,000000,900.90002,913.79999,900.90002,909.90002
SPFB.GOLD,D,20090507,000000,911.00000,926.79999,910.00000,911.50000
SPFB.GOLD,D,20090508,000000,915.09998,920.29999,903.20001,916.20001
SPFB.GOLD,D,20090512,000000,915.70001,923.00000,913.29999,921.59998
SPFB.GOLD,D,20090513,000000,924.90002,930.59998,918.09998,925.79999
SPFB.GOLD,D,20090514,000000,926.00000,929.20001,920.50000,927.50000
SPFB.GOLD,D,20090515,000000,926.00000,934.00000,923.79999,930.09998
SPFB.GOLD,D,20090518,000000,931.00000,932.09998,910.59998,919.00000
SPFB.GOLD,D,20090519,000000,921.50000,928.90002,918.40002,925.79999
SPFB.GOLD,D,20090520,000000,927.09998,942.00000,926.09998,940.00000
SPFB.GOLD,D,20090521,000000,940.00000,956.40002,937.50000,954.29999
SPFB.GOLD,D,20090522,000000,957.00000,964.00000,951.09998,957.29999
SPFB.GOLD,D,20090525,000000,955.70001,962.90002,952.79999,961.29999
SPFB.GOLD,D,20090526,000000,960.00000,960.00000,940.09998,953.70001
SPFB.GOLD,D,20090527,000000,948.20001,959.00000,946.90002,950.00000
SPFB.GOLD,D,20090528,000000,947.00000,964.20001,944.90002,960.29999
SPFB.GOLD,D,20090529,000000,963.00000,981.00000,963.00000,981.00000
SPFB.GOLD,D,20090601,000000,981.00000,988.70001,974.50000,981.00000
SPFB.GOLD,D,20090602,000000,978.70001,989.59998,973.29999,982.50000
SPFB.GOLD,D,20090603,000000,987.90002,993.00000,962.09998,964.40002
SPFB.GOLD,D,20090604,000000,970.00000,984.00000,963.00000,981.20001
SPFB.GOLD,D,20090605,000000,981.50000,983.79999,954.00000,955.00000
SPFB.GOLD,D,20090608,000000,956.20001,957.20001,945.20001,953.40002
SPFB.GOLD,D,20090609,000000,952.79999,963.50000,950.50000,956.20001
SPFB.GOLD,D,20090610,000000,963.79999,990.00000,946.09998,954.40002
SPFB.GOLD,D,20090611,000000,957.70001,961.90002,942.00000,956.79999
SPFB.GOLD,D,20090615,000000,952.90002,952.90002,926.40002,929.09998
SPFB.GOLD,D,20090616,000000,929.59998,939.00000,929.59998,935.29999
SPFB.GOLD,D,20090617,000000,937.00000,939.09998,928.90002,939.09998
SPFB.GOLD,D,20090618,000000,939.70001,941.50000,930.20001,934.29999
SPFB.GOLD,D,20090619,000000,934.40002,939.79999,932.00000,935.79999
SPFB.GOLD,D,20090622,000000,933.09998,934.59998,918.90002,921.79999
SPFB.GOLD,D,20090623,000000,919.29999,927.20001,905.09998,926.59998
SPFB.GOLD,D,20090624,000000,926.09998,943.00000,926.00000,930.29999
SPFB.GOLD,D,20090625,000000,936.00000,941.50000,933.29999,940.00000
SPFB.GOLD,D,20090626,000000,942.70001,949.29999,937.00000,941.29999
SPFB.GOLD,D,20090629,000000,939.70001,943.50000,935.50000,939.29999
SPFB.GOLD,D,20090630,000000,943.00000,945.90002,925.50000,930.90002
SPFB.GOLD,D,20090701,000000,932.00000,946.50000,930.40002,940.79999
SPFB.GOLD,D,20090702,000000,941.00000,942.09998,928.00000,931.00000
SPFB.GOLD,D,20090703,000000,934.00000,934.59998,931.09998,933.59998
