<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.RTS,D,20071206,000000,229265.00000,229270.00000,225560.00000,227700.00000
SPFB.RTS,D,20071207,000000,228515.00000,230720.00000,228330.00000,229330.00000
SPFB.RTS,D,20071210,000000,228500.00000,236135.00000,228005.00000,235345.00000
SPFB.RTS,D,20071211,000000,239705.00000,242000.00000,238200.00000,238900.00000
SPFB.RTS,D,20071212,000000,238190.00000,242100.00000,236500.00000,241855.00000
SPFB.RTS,D,20071213,000000,240025.00000,240900.00000,236555.00000,236555.00000
SPFB.RTS,D,20071214,000000,236565.00000,237835.00000,229055.00000,231405.00000
SPFB.RTS,D,20071217,000000,229515.00000,231900.00000,226625.00000,230100.00000
SPFB.RTS,D,20071218,000000,230200.00000,233990.00000,229400.00000,233350.00000
SPFB.RTS,D,20071219,000000,233300.00000,234540.00000,230100.00000,232540.00000
SPFB.RTS,D,20071220,000000,232600.00000,236000.00000,232255.00000,234770.00000
SPFB.RTS,D,20071221,000000,235995.00000,236800.00000,234250.00000,235750.00000
SPFB.RTS,D,20071224,000000,237000.00000,237245.00000,235240.00000,235390.00000
SPFB.RTS,D,20071225,000000,236000.00000,236400.00000,233525.00000,233755.00000
SPFB.RTS,D,20071226,000000,234000.00000,234000.00000,230540.00000,230685.00000
SPFB.RTS,D,20071227,000000,230000.00000,232620.00000,230000.00000,230800.00000
SPFB.RTS,D,20071228,000000,230795.00000,231870.00000,229770.00000,230990.00000
SPFB.RTS,D,20080109,000000,230000.00000,234190.00000,229510.00000,231500.00000
SPFB.RTS,D,20080110,000000,231990.00000,234330.00000,231985.00000,233805.00000
SPFB.RTS,D,20080111,000000,234000.00000,234250.00000,232400.00000,233380.00000
SPFB.RTS,D,20080114,000000,233030.00000,236895.00000,232490.00000,236890.00000
SPFB.RTS,D,20080115,000000,236515.00000,237570.00000,234815.00000,235380.00000
SPFB.RTS,D,20080116,000000,232650.00000,232800.00000,220000.00000,224900.00000
SPFB.RTS,D,20080117,000000,225600.00000,225995.00000,217230.00000,221175.00000
SPFB.RTS,D,20080118,000000,220000.00000,220040.00000,216025.00000,218000.00000
SPFB.RTS,D,20080121,000000,214705.00000,215520.00000,199555.00000,201505.00000
SPFB.RTS,D,20080122,000000,195505.00000,208400.00000,188815.00000,199350.00000
SPFB.RTS,D,20080123,000000,202400.00000,205285.00000,188560.00000,191500.00000
SPFB.RTS,D,20080124,000000,199950.00000,202875.00000,196700.00000,202610.00000
SPFB.RTS,D,20080125,000000,206500.00000,207450.00000,203250.00000,206100.00000
SPFB.RTS,D,20080128,000000,200000.00000,201500.00000,196600.00000,199410.00000
SPFB.RTS,D,20080129,000000,202995.00000,204000.00000,201000.00000,203050.00000
SPFB.RTS,D,20080130,000000,202495.00000,202495.00000,198850.00000,199300.00000
SPFB.RTS,D,20080131,000000,198490.00000,200100.00000,188565.00000,192700.00000
SPFB.RTS,D,20080201,000000,195000.00000,201600.00000,194000.00000,200200.00000
SPFB.RTS,D,20080204,000000,203400.00000,210000.00000,200915.00000,202400.00000
SPFB.RTS,D,20080205,000000,201510.00000,207075.00000,194940.00000,196600.00000
SPFB.RTS,D,20080206,000000,192500.00000,197135.00000,189210.00000,194475.00000
SPFB.RTS,D,20080207,000000,194200.00000,195770.00000,184205.00000,188300.00000
SPFB.RTS,D,20080208,000000,190305.00000,192755.00000,185200.00000,188990.00000
SPFB.RTS,D,20080211,000000,187025.00000,194390.00000,186880.00000,191640.00000
SPFB.RTS,D,20080212,000000,193700.00000,200900.00000,193200.00000,200900.00000
SPFB.RTS,D,20080213,000000,199995.00000,203100.00000,196220.00000,202025.00000
SPFB.RTS,D,20080214,000000,205510.00000,206695.00000,201200.00000,201705.00000
SPFB.RTS,D,20080215,000000,200275.00000,203475.00000,198430.00000,198800.00000
SPFB.RTS,D,20080218,000000,199790.00000,204695.00000,199790.00000,204540.00000
SPFB.RTS,D,20080219,000000,205995.00000,207000.00000,202325.00000,206590.00000
SPFB.RTS,D,20080220,000000,204800.00000,205775.00000,201020.00000,203405.00000
SPFB.RTS,D,20080221,000000,206025.00000,210000.00000,205325.00000,208510.00000
SPFB.RTS,D,20080222,000000,206475.00000,209695.00000,205425.00000,208500.00000
SPFB.RTS,D,20080226,000000,210995.00000,212500.00000,209530.00000,210505.00000
SPFB.RTS,D,20080227,000000,212500.00000,212990.00000,208805.00000,209610.00000
SPFB.RTS,D,20080228,000000,209205.00000,210490.00000,207500.00000,208600.00000
SPFB.RTS,D,20080229,000000,207500.00000,211135.00000,204350.00000,204700.00000
SPFB.RTS,D,20080303,000000,201000.00000,203650.00000,198900.00000,203475.00000
SPFB.RTS,D,20080304,000000,203555.00000,206500.00000,199650.00000,201795.00000
SPFB.RTS,D,20080305,000000,201900.00000,205295.00000,200045.00000,205290.00000
SPFB.RTS,D,20080306,000000,206985.00000,207950.00000,204125.00000,205520.00000
SPFB.RTS,D,20080307,000000,202500.00000,203690.00000,199625.00000,203400.00000
SPFB.RTS,D,20080311,000000,202125.00000,207000.00000,201200.00000,206700.00000
SPFB.RTS,D,20080312,000000,209005.00000,211500.00000,208225.00000,209480.00000
SPFB.RTS,D,20080313,000000,208000.00000,208500.00000,205400.00000,206300.00000
SPFB.RTS,D,20080314,000000,207885.00000,211670.00000,206910.00000,208200.00000
SPFB.RTS,D,20080317,000000,205500.00000,206000.00000,195705.00000,199000.00000
SPFB.RTS,D,20080318,000000,200500.00000,202700.00000,197315.00000,202535.00000
SPFB.RTS,D,20080319,000000,206500.00000,206500.00000,201200.00000,201200.00000
SPFB.RTS,D,20080320,000000,197005.00000,199335.00000,193905.00000,196320.00000
SPFB.RTS,D,20080321,000000,197450.00000,198490.00000,195700.00000,195700.00000
SPFB.RTS,D,20080324,000000,196025.00000,201135.00000,194615.00000,201000.00000
SPFB.RTS,D,20080325,000000,201010.00000,202215.00000,197900.00000,198375.00000
SPFB.RTS,D,20080326,000000,198825.00000,200480.00000,197700.00000,198600.00000
SPFB.RTS,D,20080327,000000,198900.00000,203975.00000,198390.00000,201850.00000
SPFB.RTS,D,20080328,000000,202525.00000,204280.00000,201805.00000,203345.00000
SPFB.RTS,D,20080331,000000,202005.00000,205480.00000,201220.00000,204895.00000
SPFB.RTS,D,20080401,000000,204800.00000,205800.00000,201950.00000,204300.00000
SPFB.RTS,D,20080402,000000,206525.00000,208160.00000,204820.00000,205490.00000
SPFB.RTS,D,20080403,000000,205125.00000,207500.00000,204080.00000,204250.00000
SPFB.RTS,D,20080404,000000,205055.00000,207000.00000,204310.00000,205615.00000
SPFB.RTS,D,20080407,000000,207035.00000,210095.00000,206720.00000,210000.00000
SPFB.RTS,D,20080408,000000,209210.00000,209600.00000,207460.00000,208380.00000
SPFB.RTS,D,20080409,000000,208330.00000,211095.00000,207300.00000,210250.00000
SPFB.RTS,D,20080410,000000,209550.00000,211855.00000,209000.00000,210990.00000
SPFB.RTS,D,20080411,000000,212400.00000,212890.00000,206305.00000,206350.00000
SPFB.RTS,D,20080414,000000,205005.00000,206650.00000,204165.00000,205795.00000
SPFB.RTS,D,20080415,000000,206900.00000,209180.00000,206500.00000,209085.00000
SPFB.RTS,D,20080416,000000,209980.00000,215280.00000,208505.00000,215190.00000
SPFB.RTS,D,20080417,000000,216850.00000,216850.00000,212120.00000,213200.00000
SPFB.RTS,D,20080418,000000,214000.00000,217595.00000,213335.00000,217160.00000
SPFB.RTS,D,20080421,000000,218160.00000,218690.00000,215150.00000,216000.00000
SPFB.RTS,D,20080422,000000,215690.00000,217000.00000,214450.00000,214745.00000
SPFB.RTS,D,20080423,000000,214945.00000,216800.00000,212535.00000,214300.00000
SPFB.RTS,D,20080424,000000,215055.00000,215055.00000,209650.00000,209800.00000
SPFB.RTS,D,20080425,000000,210815.00000,211550.00000,208760.00000,210100.00000
SPFB.RTS,D,20080428,000000,211005.00000,215180.00000,210395.00000,213350.00000
SPFB.RTS,D,20080429,000000,213175.00000,213590.00000,211215.00000,211380.00000
SPFB.RTS,D,20080430,000000,211100.00000,211900.00000,208950.00000,211750.00000
SPFB.RTS,D,20080504,000000,213055.00000,214190.00000,212525.00000,213890.00000
SPFB.RTS,D,20080505,000000,213500.00000,214070.00000,211715.00000,213385.00000
SPFB.RTS,D,20080506,000000,213440.00000,215000.00000,213340.00000,214850.00000
SPFB.RTS,D,20080507,000000,215800.00000,219320.00000,215515.00000,219200.00000
SPFB.RTS,D,20080508,000000,218000.00000,228000.00000,217300.00000,227645.00000
