<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.Si,D,20071001,000000,24990.00000,25031.00000,24981.00000,25014.00000
SPFB.Si,D,20071002,000000,25044.00000,25108.00000,25044.00000,25080.00000
SPFB.Si,D,20071003,000000,25073.00000,25074.00000,25008.00000,25044.00000
SPFB.Si,D,20071004,000000,25110.00000,25130.00000,25086.00000,25123.00000
SPFB.Si,D,20071005,000000,25111.00000,25115.00000,25033.00000,25039.00000
SPFB.Si,D,20071008,000000,25100.00000,25106.00000,25082.00000,25100.00000
SPFB.Si,D,20071009,000000,25130.00000,25132.00000,25098.00000,25107.00000
SPFB.Si,D,20071010,000000,25056.00000,25056.00000,24980.00000,24995.00000
SPFB.Si,D,20071011,000000,24895.00000,25020.00000,24895.00000,24979.00000
SPFB.Si,D,20071012,000000,24955.00000,24975.00000,24926.00000,24960.00000
SPFB.Si,D,20071015,000000,24925.00000,24962.00000,24900.00000,24900.00000
SPFB.Si,D,20071016,000000,24937.00000,25075.00000,24899.00000,25028.00000
SPFB.Si,D,20071017,000000,24950.00000,24989.00000,24940.00000,24960.00000
SPFB.Si,D,20071018,000000,24999.00000,24999.00000,24872.00000,24904.00000
SPFB.Si,D,20071019,000000,25020.00000,25020.00000,24835.00000,24885.00000
SPFB.Si,D,20071022,000000,24836.00000,24999.00000,24824.00000,24980.00000
SPFB.Si,D,20071023,000000,25020.00000,25020.00000,24905.00000,24917.00000
SPFB.Si,D,20071024,000000,24922.00000,24961.00000,24922.00000,24925.00000
SPFB.Si,D,20071025,000000,24883.00000,24915.00000,24853.00000,24867.00000
SPFB.Si,D,20071026,000000,24836.00000,24837.00000,24799.00000,24811.00000
SPFB.Si,D,20071029,000000,24780.00000,24783.00000,24742.00000,24773.00000
SPFB.Si,D,20071030,000000,24770.00000,24804.00000,24746.00000,24760.00000
SPFB.Si,D,20071031,000000,24732.00000,24765.00000,24717.00000,24765.00000
SPFB.Si,D,20071101,000000,24729.00000,24770.00000,24722.00000,24760.00000
SPFB.Si,D,20071102,000000,24730.00000,24769.00000,24688.00000,24688.00000
SPFB.Si,D,20071106,000000,24600.00000,24685.00000,24600.00000,24617.00000
SPFB.Si,D,20071107,000000,24570.00000,24580.00000,24480.00000,24495.00000
SPFB.Si,D,20071108,000000,24520.00000,24530.00000,24490.00000,24515.00000
SPFB.Si,D,20071109,000000,24475.00000,24512.00000,24440.00000,24508.00000
SPFB.Si,D,20071112,000000,24529.00000,24630.00000,24503.00000,24591.00000
SPFB.Si,D,20071113,000000,24552.00000,24599.00000,24549.00000,24580.00000
SPFB.Si,D,20071114,000000,24524.00000,24536.00000,24462.00000,24462.00000
SPFB.Si,D,20071115,000000,24492.00000,24555.00000,24492.00000,24541.00000
